Date,Income,Expense,time
30/03/2018,0.0,72.0,14:15:48
29/03/2018,0.0,1234.0,15:36:44
27/03/2018,0.0,35.0,21:29:09
26/03/2018,0.0,72.0,05:51:13
26/03/2018,0.0,157.0,18:57:55
25/03/2018,40.5,0.0,05:51:45
25/03/2018,0.0,10.0,10:54:36
25/03/2018,0.0,25.0,19:50:44
25/03/2018,0.0,20.0,09:31:45
25/03/2018,0.0,160.0,01:19:56
25/03/2018,0.0,80.0,19:21:36
25/03/2018,0.0,240.0,13:46:10
23/03/2018,0.0,100.0,15:42:07
22/03/2018,0.0,7.0,18:49:20
22/03/2018,0.0,15.0,16:14:38
22/03/2018,0.0,153.0,10:06:55
22/03/2018,0.0,150.0,12:26:51
22/03/2018,0.0,150.0,23:56:07
22/03/2018,0.0,20.0,22:45:58
22/03/2018,0.0,72.0,14:08:53
21/03/2018,0.0,24.0,21:25:31
21/03/2018,0.0,38.0,02:17:21
21/03/2018,0.0,50.0,21:09:53
20/03/2018,0.0,246.0,14:55:40
20/03/2018,0.0,17.0,18:46:30
20/03/2018,0.0,215.75,20:28:36
20/03/2018,0.0,18.0,03:59:26
20/03/2018,0.0,36.0,08:03:26
20/03/2018,0.0,36.0,08:48:02
18/03/2018,0.0,10.0,14:00:26
18/03/2018,0.0,15.0,01:42:45
18/03/2018,0.0,799.0,00:16:57
18/03/2018,0.0,498.0,20:58:56
18/03/2018,0.0,50.0,23:26:02
18/03/2018,0.0,30.0,15:25:41
18/03/2018,0.0,10.0,08:16:12
18/03/2018,0.0,20.0,22:16:44
17/03/2018,0.0,30.0,04:07:44
17/03/2018,0.0,37.0,04:19:18
15/03/2018,0.0,60.0,05:08:57
15/03/2018,0.0,36.0,04:51:04
14/03/2018,0.0,140.0,02:03:53
14/03/2018,0.0,40.0,04:04:37
14/03/2018,0.0,578.0,07:42:30
14/03/2018,0.0,42.88,12:10:00
13/03/2018,0.0,480.0,03:55:30
13/03/2018,0.0,36.0,23:01:20
13/03/2018,0.0,5000.0,22:37:25
13/03/2018,0.0,5000.0,01:14:25
12/3/2018,0.0,1293.0,13:11:18
10/3/2018,0.0,300.0,20:56:25
10/3/2018,0.0,77.0,15:10:01
10/3/2018,0.0,72.0,07:46:28
10/3/2018,0.0,36.0,15:27:36
8/3/2018,0.0,91.0,09:57:25
8/3/2018,0.0,40.0,21:16:09
8/3/2018,500.0,0.0,02:02:57
8/3/2018,0.0,540.0,09:11:13
8/3/2018,0.0,36.0,09:37:12
8/3/2018,0.0,36.0,13:43:34
8/3/2018,0.0,1000.0,10:36:44
7/3/2018,0.0,20.0,11:19:30
7/3/2018,0.0,30.0,02:00:13
6/3/2018,0.0,172.0,09:41:02
6/3/2018,0.0,22.0,06:29:21
6/3/2018,0.0,4.0,20:21:02
6/3/2018,3500.0,0.0,21:07:18
6/3/2018,0.0,36.0,10:52:45
6/3/2018,0.0,50.0,14:47:26
6/3/2018,0.0,50.0,23:02:47
5/3/2018,0.0,20.0,23:03:21
5/3/2018,0.0,162.0,01:27:53
5/3/2018,0.0,1357.0,22:30:26
5/3/2018,0.0,972.0,02:44:44
5/3/2018,0.0,10.0,05:04:08
4/3/2018,0.0,450.0,14:37:45
4/3/2018,0.0,130.0,11:59:19
3/3/2018,78.0,0.0,15:38:59
3/3/2018,0.0,36.0,17:03:47
2/3/2018,0.0,15.0,01:11:36
1/3/2018,0.0,189.0,07:01:35
1/3/2018,0.0,36.0,20:40:08
1/3/2018,0.0,10000.0,22:49:45
1/3/2018,0.0,2000.0,13:51:06
1/3/2018,0.0,10000.0,18:34:08
28/02/2018,0.0,45.0,02:16:03
28/02/2018,0.0,36.0,23:08:47
28/02/2018,0.0,30.0,02:45:29
28/02/2018,0.0,18.0,19:38:50
28/02/2018,64556.0,0.0,23:25:46
27/02/2018,0.0,38.0,06:15:46
27/02/2018,0.0,30.0,14:33:29
26/02/2018,0.0,73.0,22:10:32
26/02/2018,0.0,140.0,11:04:34
26/02/2018,0.0,443.0,08:31:48
26/02/2018,0.0,17.0,06:04:21
24/02/2018,0.0,40.0,00:13:13
23/02/2018,0.0,128.0,21:35:32
23/02/2018,0.0,20.0,22:53:19
23/02/2018,0.0,72.0,03:18:29
22/02/2018,0.0,157.0,19:57:09
22/02/2018,0.0,20.0,17:58:20
22/02/2018,0.0,20.0,11:22:43
22/02/2018,0.0,192.0,14:50:59
22/02/2018,0.0,11043.0,04:16:59
20/02/2018,0.0,2600.0,19:06:56
19/02/2018,170.0,0.0,18:00:24
19/02/2018,0.0,170.0,01:35:14
19/02/2018,0.0,72.0,19:35:24
19/02/2018,0.0,24.0,14:25:23
17/02/2018,0.0,1783.0,18:11:43
17/02/2018,0.0,3598.0,04:39:21
17/02/2018,0.0,20.0,05:06:42
17/02/2018,0.0,30.0,18:23:22
16/02/2018,0.0,45.0,23:54:56
16/02/2018,0.0,45.0,04:33:05
16/02/2018,0.0,72.0,08:04:10
15/02/2018,0.0,35.0,00:52:25
15/02/2018,0.0,30.0,06:00:15
15/02/2018,0.0,117.0,06:52:10
14/02/2018,0.0,60.0,23:41:58
13/02/2018,0.0,25.0,13:40:43
13/02/2018,0.0,35.0,22:27:49
13/02/2018,0.0,72.0,03:51:09
13/02/2018,0.0,72.0,06:46:54
13/02/2018,0.0,5000.0,12:03:23
13/02/2018,0.0,5000.0,22:51:57
12/2/2018,0.0,36.0,21:47:54
12/2/2018,0.0,30.0,07:55:36
12/2/2018,0.0,162.0,04:04:14
11/2/2018,0.0,30.0,02:50:57
11/2/2018,0.0,235.0,18:53:53
11/2/2018,0.0,15.0,16:35:05
11/2/2018,0.0,40.0,10:19:49
11/2/2018,0.0,15.0,10:10:22
10/2/2018,0.0,4825.0,09:09:32
10/2/2018,0.0,69.0,04:46:35
9/2/2018,0.0,98.0,13:36:58
8/2/2018,0.0,35.0,08:55:24
8/2/2018,0.0,25.0,05:58:50
8/2/2018,0.0,69.0,03:57:33
7/2/2018,0.0,1000.0,03:32:48
6/2/2018,0.0,312.0,03:54:57
5/2/2018,0.0,500.0,15:37:25
5/2/2018,0.0,220.0,04:04:40
5/2/2018,0.0,45.0,03:26:12
